INDIVIDUAL_ID,AGERAW,GENDER,BBC_VMF,SKY_VMF,VIRGIN_VMF,ALBA,BBC1,BBC2,BBC4,CBBC,CBEEBIES,NEWS,PARLIAMENT
I-1008879_1,46,1,10,7,8,0,88.4,6.7,1.9,0,3,0,0
I-1008847_1,51,1,10,2,7,0,33,49.1,18,0,0,0,0
I-1008840_1,64,2,7,9,6,0,61.9,16.6,21.5,0,0,0,0
I-1008840_1,65,2,7,9,6,0,61.9,16.6,21.5,0,0,0,0
I-1008805_1,45,2,10,9,10,0,46.9,9,0.7,10.8,1.1,31.4,0.2
I-1008799_1,29,2,1,1,1,0,84.5,13.9,0,0,0.8,0.8,0
I-1008786_1,49,2,10,0,0,0,93,5.4,1.6,0,0,0,0
I-1008763_1,56,2,10,7,7,0,55.7,22.7,21.6,0,0,0,0
I-1008761_1,49,2,7,7,0,0,76.8,11.2,11.8,0,0,0.2,0
I-1008722_1,55,2,10,1,2,0,82.1,13.6,4.3,0,0,0,0
I-1008719_1,56,2,4,8,7,0,79,21,0,0,0,0,0
I-1008700_1,50,1,9,10,5,0,20.8,13.2,2.8,0,0,52.1,11.1
I-1008688_1,33,2,1,0,0,0,85,13.8,0,0,1.1,0,0
I-1008680_1,27,2,1,10,0,0,49.6,10.9,39.5,0,0,0,0
I-1008666_1,55,2,5,0,8,0,14.8,1.9,12.8,0,0,70.6,0
I-1008650_1,49,2,2,9,0,0,60.5,26.6,12.5,0,0.4,0,0
I-1008645_1,58,2,7,4,5,0,60.9,16,5.2,2.4,15.4,0,0
I-1008635_1,48,1,4,8,0,0,50.3,0,24.6,25.1,0,0,0
I-1008628_1,33,2,2,6,6,0,34.1,0.5,0,0,65.4,0,0
I-1008623_1,52,2,5,6,8,0,0,0,0,0,0,0,0
I-1008608_1,46,1,3,2,2,0,0,50.4,49.6,0,0,0,0
I-1008543_1,57,2,8,5,0,0,90.8,6.8,0,0.5,0,1.9,0
I-1008538_1,44,2,7,7,9,0,70.3,20.7,9,0,0,0,0
I-1008504_1,51,1,10,4,4,0,75.2,18.8,0.4,0,0,5.6,0
I-1008485_1,45,1,7,7,6,0,88.4,8.9,0.4,0.2,0,2,0
I-1008455_1,39,2,5,0,3,0,83.5,4.3,5.8,0,0,6.3,0
I-1008436_1,42,1,10,8,8,0,19,11.4,1.1,0,0,68.5,0
I-1008426_1,67,1,10,1,3,0,90.1,8.5,1.4,0,0,0,0
I-1008415_1,36,2,10,7,10,0,55.6,32,3.9,6.7,1.8,0,0
I-1008406_1,41,1,6,8,1,0,83.5,13.8,0,0,0,2.8,0
I-1008406_1,42,1,6,8,1,0,83.5,13.8,0,0,0,2.8,0
I-1008371_1,59,2,9,5,0,0,32.2,8.7,0.8,0,0,58.3,0
I-1008357_1,38,2,7,8,0,0,74.6,25.4,0,0,0,0,0
I-1008345_1,39,2,8,7,0,0,33.9,8.6,40.4,0,10.5,6.5,0
I-1008345_1,40,2,8,7,0,0,33.9,8.6,40.4,0,10.5,6.5,0
I-1008344_1,33,2,6,6,6,0,32.3,19,43.9,0,0,4.8,0
I-1008337_1,36,2,3,4,6,0,71.4,7.4,0.9,1.6,0.3,3.3,15.1
I-1008337_1,37,2,3,4,6,0,71.4,7.4,0.9,1.6,0.3,3.3,15.1
I-1008325_1,30,2,7,2,3,0,52.5,32.4,2.1,0,0,12.9,0
I-1008321_1,62,1,8,9,6,6.9,50.5,31,5.8,0,5.8,0,0
I-1008306_1,49,2,9,0,0,0,64.3,31.9,3.4,0,0,0.4,0
I-1008299_1,27,2,9,9,7,0,0,0,0,0,0,0,0
I-1008290_1,55,1,3,0,0,3.6,68.2,27.9,0.3,0,0,0,0
I-1008216_1,62,2,4,0,0,0,88.7,10.7,0.3,0,0,0.3,0
